INSTNM,CITY,STABBR
Alabama A & M University,Normal,AL
University of Alabama at Birmingham,Birmingham,AL
Amridge University,Montgomery,AL
University of Alabama in Huntsville,Huntsville,AL
Alabama State University,Montgomery,AL
The University of Alabama,Tuscaloosa,AL
Central Alabama Community College,Alexander City,AL
Athens State University,Athens,AL
Auburn University at Montgomery,Montgomery,AL
Auburn University,Auburn,AL
Birmingham Southern College,Birmingham,AL
Chattahoochee Valley Community College,Phenix City,AL
Concordia College Alabama,Selma,AL
South University-Montgomery,Montgomery,AL
Enterprise State Community College,Enterprise,AL
James H Faulkner State Community College,Bay Minette,AL
Faulkner University,Montgomery,AL
Gadsden State Community College,Gadsden,AL
New Beginning College of Cosmetology,Albertville,AL
George C Wallace State Community College-Dothan,Dothan,AL
George C Wallace State Community College-Hanceville,Hanceville,AL
George C Wallace State Community College-Selma,Selma,AL
Herzing University-Birmingham,Birmingham,AL
Huntingdon College,Montgomery,AL
Heritage Christian University,Florence,AL
J F Drake State Community and Technical College,Huntsville,AL
Jacksonville State University,Jacksonville,AL
Jefferson Davis Community College,Brewton,AL
Jefferson State Community College,Birmingham,AL
John C Calhoun State Community College,Tanner,AL
Judson College,Marion,AL
Lawson State Community College-Birmingham Campus,Birmingham,AL
University of West Alabama,Livingston,AL
Lurleen B Wallace Community College,Andalusia,AL
Marion Military Institute,Marion,AL
Miles College,Fairfield,AL
University of Mobile,Mobile,AL
University of Montevallo,Montevallo,AL
Northwest-Shoals Community College,Muscle Shoals,AL
University of North Alabama,Florence,AL
Northeast Alabama Community College,Rainsville,AL
Oakwood University,Huntsville,AL
Alabama Southern Community College,Monroeville,AL
Prince Institute-Southeast,Elmhurst,IL
Reid State Technical College,Evergreen,AL
Bishop State Community College,Mobile,AL
Samford University,Birmingham,AL
Selma University,Selma,AL
Shelton State Community College,Tuscaloosa,AL
Snead State Community College,Boaz,AL
University of South Alabama,Mobile,AL
Spring Hill College,Mobile,AL
Southeastern Bible College,Birmingham,AL
Stillman College,Tuscaloosa,AL
Talladega College,Talladega,AL
H Councill Trenholm State Community College,Montgomery,AL
Troy University,Troy,AL
Tuskegee University,Tuskegee,AL
United States Sports Academy,Daphne,AL
Bevill State Community College,Jasper,AL
University of Alaska Anchorage,Anchorage,AK
Alaska Bible College,Palmer,AK
University of Alaska Fairbanks,Fairbanks,AK
University of Alaska Southeast,Juneau,AK
Alaska Pacific University,Anchorage,AK
AVTEC-Alaska's Institute of Technology,Seward,AK
Charter College-Anchorage,Anchorage,AK
Alaska Career College,Anchorage,AK
Everest College-Phoenix,Phoenix,AZ
Collins College,Phoenix,AZ
Empire Beauty School-Paradise Valley,Phoenix,AZ
Empire Beauty School-Tucson,Tucson,AZ
Thunderbird School of Global Management,Glendale,AZ
American Indian College Inc,Phoenix,AZ
American Institute of Technology,Phoenix,AZ
Carrington College-Phoenix,Phoenix,AZ
Carrington College-Mesa,Mesa,AZ
Carrington College-Tucson,Tucson,AZ
CollegeAmerica-Flagstaff,Flagstaff,AZ
Arizona Academy of Beauty-East,Tucson,AZ
Arizona Automotive Institute,Glendale,AZ
Brookline College-Phoenix,Phoenix,AZ
Arizona State University-Tempe,Tempe,AZ
Arizona Western College,Yuma,AZ
University of Arizona,Tucson,AZ
Southwest University of Visual Arts-Tucson,Tucson,AZ
Central Arizona College,Coolidge,AZ
